impute,inputmatrix,featsel,featext,response,models,penalty
no,codon,varThreshold,pca,numerical,RF,lasso
no,codon,varThreshold,pca,numerical,RF,ridge
no,codon,varThreshold,pca,numerical,NN,no
no,codon,varThreshold,pca,numerical,NN,lasso
no,codon,varThreshold,pca,numerical,NN,ridge
no,codon,varThreshold,tsne,binary,regression,no
no,codon,varThreshold,tsne,binary,regression,lasso
no,codon,varThreshold,tsne,binary,regression,ridge
no,codon,varThreshold,tsne,binary,RF,no
no,codon,varThreshold,tsne,binary,RF,lasso
no,codon,varThreshold,tsne,binary,RF,ridge
no,codon,varThreshold,tsne,binary,NN,no
no,codon,varThreshold,tsne,binary,NN,lasso
no,codon,varThreshold,tsne,binary,NN,ridge
no,codon,varThreshold,tsne,numerical,regression,no
no,codon,varThreshold,tsne,numerical,regression,lasso
no,codon,varThreshold,tsne,numerical,regression,ridge
no,codon,varThreshold,tsne,numerical,RF,no
no,codon,varThreshold,tsne,numerical,RF,lasso
no,codon,varThreshold,tsne,numerical,RF,ridge
no,codon,varThreshold,tsne,numerical,NN,no
no,codon,varThreshold,tsne,numerical,NN,lasso
no,codon,varThreshold,tsne,numerical,NN,ridge
no,original,no,no,binary,regression,no
no,original,no,no,binary,regression,lasso
no,original,no,no,binary,regression,ridge
no,original,no,no,binary,RF,no
no,original,no,no,binary,RF,lasso
no,original,no,no,binary,RF,ridge
no,original,no,no,binary,NN,no
no,original,no,no,binary,NN,lasso
no,original,no,no,binary,NN,ridge
no,original,no,no,numerical,regression,no
no,original,no,no,numerical,regression,lasso
no,original,no,no,numerical,regression,ridge
no,original,no,no,numerical,RF,no
no,original,no,no,numerical,RF,lasso
no,original,no,no,numerical,RF,ridge
no,original,no,no,numerical,NN,no
no,original,no,no,numerical,NN,lasso
no,original,no,no,numerical,NN,ridge
no,original,no,pca,binary,regression,no
no,original,no,pca,binary,regression,lasso
no,original,no,pca,binary,regression,ridge
no,original,no,pca,binary,RF,no
no,original,no,pca,binary,RF,lasso
no,original,no,pca,binary,RF,ridge
no,original,no,pca,binary,NN,no
no,original,no,pca,binary,NN,lasso
no,original,no,pca,binary,NN,ridge
no,original,no,pca,numerical,regression,no
no,original,no,pca,numerical,regression,lasso
no,original,no,pca,numerical,regression,ridge
no,original,no,pca,numerical,RF,no
no,original,no,pca,numerical,RF,lasso
no,original,no,pca,numerical,RF,ridge
no,original,no,pca,numerical,NN,no
no,original,no,pca,numerical,NN,lasso
no,original,no,pca,numerical,NN,ridge
no,original,no,tsne,binary,regression,no
no,original,no,tsne,binary,regression,lasso
no,original,no,tsne,binary,regression,ridge
no,original,no,tsne,binary,RF,no
no,original,no,tsne,binary,RF,lasso
no,original,no,tsne,binary,RF,ridge
no,original,no,tsne,binary,NN,no
no,original,no,tsne,binary,NN,lasso
no,original,no,tsne,binary,NN,ridge
no,original,no,tsne,numerical,regression,no
no,original,no,tsne,numerical,regression,lasso
no,original,no,tsne,numerical,regression,ridge
no,original,no,tsne,numerical,RF,no
no,original,no,tsne,numerical,RF,lasso
no,original,no,tsne,numerical,RF,ridge
no,original,no,tsne,numerical,NN,no
no,original,no,tsne,numerical,NN,lasso
no,original,no,tsne,numerical,NN,ridge
no,original,varThreshold,no,binary,regression,no
no,original,varThreshold,no,binary,regression,lasso
no,original,varThreshold,no,binary,regression,ridge
no,original,varThreshold,no,binary,RF,no
no,original,varThreshold,no,binary,RF,lasso
no,original,varThreshold,no,binary,RF,ridge
no,original,varThreshold,no,binary,NN,no
no,original,varThreshold,no,binary,NN,lasso
no,original,varThreshold,no,binary,NN,ridge
no,original,varThreshold,no,numerical,regression,no
no,original,varThreshold,no,numerical,regression,lasso
no,original,varThreshold,no,numerical,regression,ridge
no,original,varThreshold,no,numerical,RF,no
no,original,varThreshold,no,numerical,RF,lasso
no,original,varThreshold,no,numerical,RF,ridge
no,original,varThreshold,no,numerical,NN,no
no,original,varThreshold,no,numerical,NN,lasso
