accuracy,balanced_accuracy,precision,recall,f1,file,encode,model
0.7777777777777778,0.5,0.0,0.0,0.0,i_c_-_p.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_n_x_t.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_c_-_t.npy,True,rf
0.7777777777777778,0.5446428571428572,0.5,0.125,0.2,o_c_x_-.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_n_-_s.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_n_-_p.npy,True,rf
0.7777777777777778,0.5446428571428572,0.5,0.125,0.2,o_n_v_-.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_c_x_t.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_c_x_s.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_n_x_t.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_n_v_s.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_n_x_p.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_n_v_p.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_c_x_t.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_c_v_p.npy,True,rf
0.7777777777777778,0.5892857142857143,0.5,0.25,0.3333333333333333,i_c_-_-.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_c_x_p.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_n_x_s.npy,True,rf
0.7777777777777778,0.5892857142857143,0.5,0.25,0.3333333333333333,i_n_x_-.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_c_v_p.npy,True,rf
0.8333333333333334,0.6696428571428572,0.75,0.375,0.5,o_n_x_-.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_n_-_t.npy,True,rf
0.7777777777777778,0.5892857142857143,0.5,0.25,0.3333333333333333,i_n_v_-.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_n_-_t.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_c_v_t.npy,True,rf
0.7777777777777778,0.5892857142857143,0.5,0.25,0.3333333333333333,i_c_x_-.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_c_x_s.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_c_v_t.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_c_-_s.npy,True,rf
0.8055555555555556,0.6071428571428572,0.6666666666666666,0.25,0.36363636363636365,o_c_-_-.npy,True,rf
0.7777777777777778,0.5892857142857143,0.5,0.25,0.3333333333333333,i_n_-_-.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_n_v_p.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_n_-_p.npy,True,rf
0.7777777777777778,0.5892857142857143,0.5,0.25,0.3333333333333333,i_c_v_-.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_n_v_t.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_n_x_p.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_n_x_s.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_c_-_s.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_c_v_s.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_c_x_p.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_c_-_p.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_c_v_s.npy,True,rf
0.8055555555555556,0.6071428571428572,0.6666666666666666,0.25,0.36363636363636365,o_c_v_-.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_n_v_t.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_c_-_t.npy,True,rf
0.7777777777777778,0.5446428571428572,0.5,0.125,0.2,o_n_-_-.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_n_v_s.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_n_-_s.npy,True,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_c_-_p.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,o_n_x_t.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,o_c_-_t.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,o_c_x_-.npy,False,svm
0.2222222222222222,0.5,0.2222222222222222,1.0,0.3636363636363636,i_n_-_s.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,o_n_-_p.npy,False,svm
0.8888888888888888,0.8839285714285714,0.7,0.875,0.7777777777777777,o_n_v_-.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,o_c_x_t.npy,False,svm
0.2222222222222222,0.5,0.2222222222222222,1.0,0.3636363636363636,o_c_x_s.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,i_n_x_t.npy,False,svm
0.2222222222222222,0.5,0.2222222222222222,1.0,0.3636363636363636,o_n_v_s.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,i_n_x_p.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,i_n_v_p.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,i_c_x_t.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,o_c_v_p.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,i_c_-_-.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,o_c_x_p.npy,False,svm
0.2222222222222222,0.5,0.2222222222222222,1.0,0.3636363636363636,i_n_x_s.npy,False,svm
0.7777777777777778,0.7232142857142857,0.5,0.625,0.5555555555555556,i_n_x_-.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,i_c_v_p.npy,False,svm
0.8611111111111112,0.7767857142857143,0.7142857142857143,0.625,0.6666666666666666,o_n_x_-.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,i_n_-_t.npy,False,svm
0.8055555555555556,0.7857142857142857,0.5454545454545454,0.75,0.631578947368421,i_n_v_-.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,o_n_-_t.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,o_c_v_t.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,i_c_x_-.npy,False,svm
0.2222222222222222,0.5,0.2222222222222222,1.0,0.3636363636363636,i_c_x_s.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,i_c_v_t.npy,False,svm
0.2222222222222222,0.5,0.2222222222222222,1.0,0.3636363636363636,o_c_-_s.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,o_c_-_-.npy,False,svm
0.8055555555555556,0.6964285714285714,0.5714285714285714,0.5,0.5333333333333333,i_n_-_-.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,o_n_v_p.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,i_n_-_p.npy,False,svm
0.7777777777777778,0.5,0.0,0.0,0.0,i_c_v_-.npy,False,svm
